,ROC-AUC,PR-AUC,Time
Classic_KNN,0.9882664547319324,0.5840716431024876,65.16950821876526
Classic_ABOD,0.9855531037893854,0.4934675290427693,106.3377857208252
IForest,0.9759049251419283,0.4519030760808732,5.00735878944397
Classic_CBLOF,0.9697628489570183,0.6400595994922489,3.9725427627563477
VAE,0.9433259502544445,0.3882949307128957,39.6999032497406
Classic_MCD,0.9396516582876318,0.7152162316692585,34.23972201347351
Classic_HBOS,0.9341418694279653,0.10905841826215047,2.514350414276123
Classic_PCA,0.9309329667741945,0.36631546874525417,0.15511393547058105
Classic_LOF,0.7020300629798912,0.04852797151687973,82.76170206069946
