,ROC-AUC,PR-AUC,Time
KNN,0.9533005586249674,0.07462685366331699,46.92708349227905
PCA,0.9502040384013345,0.13658630444418413,0.21524333953857422
HBOS,0.9490290032263425,0.24080390945108987,0.2961099147796631
IForest,0.9474228663698024,0.12117351748680315,2.398721218109131
CBLOF,0.9427310754768797,0.1321916861536435,1.2992076873779297
OCSVM,0.9269794504385764,0.06628916496964164,159.82389640808105
MCD,0.926208179905629,0.11203544111855471,17.475609064102173
LODA,0.8176753290767618,0.1620523456915648,1.2191312313079834
LOF,0.5182704644334251,0.0023034102804548187,47.98789048194885
